Latin Name - Sanskrit - Translation
ākarṇa dhanurāsana	आकर्ण धनुरासन	akarna dhanurasana
utkaṭāsana	उत्कटासन	utkatasana
supta nitambāsana	सुप्त नितम्बासन	supta nitambasana
parivṛtta svarga dvijāsana	परिवृत्त स्वर्ग द्विजासन	parivritta svarga dvijasana
ānanda bālāsana	आनन्द बालासन	ananda balasana
ubhaya pādāṅguṣṭhāsana	उभय पादाङ्गुष्ठासन	ubhaya padangushthasana
ūrdhva mukha paścimottānāsana	ऊर्ध्व मुख पश्चिमोत्तानासन	urdhva mukha paschimottanasana
nāvāsana	नावासन	navasana
ardha nāvāsana	अर्ध नावासन	ardha navasana
ardha nāvāsana	अर्ध नावासन	ardha navasana
baddha koṇāsana	बद्ध कोणासन	baddha konasana
baddha koṇāsana a	बद्ध कोणासन अ	baddha konasana a
baddha koṇāsana b	बद्ध कोणासन ब्	baddha konasana b
dhanurāsana	धनुरासन	dhanurasana
pādāṅguṣṭha dhanurāsana a	पादाङ्गुष्ठ धनुरासन अ	padangushtha dhanurasana a
pādāṅguṣṭha dhanurāsana b	पादाङ्गुष्ठ धनुरासन ब्	padangushtha dhanurasana b
vyāghrāsana	व्याघ्रासन	vyaghrasana
pārśva dhanurāsana	पार्श्व धनुरासन	parshva dhanurasana
pārśva bālāsana	पार्श्व बालासन	parshva balasana
cakravākāsana	चक्रवाकासन	chakravakasana
setu bandha sarvāṅgāsana	सेतु बन्ध सर्वाङ्गासन	setu bandha sarvangasana
eka pāda setu bandha sarvāṅgāsana	एक पाद सेतु बन्ध सर्वाङ्गासन	eka pada setu bandha sarvangasana
uṣṭrāsana	उष्ट्रासन	ushtrasana
mārjārīāsana	मार्जारीआसन	marjariasana
utthita cakravākāsana	उत्थित चक्रवाकासन	utthita chakravakasana
utkaṭāsana	उत्कटासन	utkatasana
utkaṭāsana	उत्कटासन	utkatasana
parivṛtta utkaṭāsana	परिवृत्त उत्कटासन	parivritta utkatasana
parivṛtta baddha utkaṭāsana	परिवृत्त बद्ध उत्कटासन	parivritta baddha utkatasana
svarga dvijāsana	स्वर्ग द्विजासन	svarga dvijasana
utthita parivṛtta utkaṭāsana	उत्थित परिवृत्त उत्कटासन	utthita parivritta utkatasana
